cluster_id,label_ko,term,rationale
organizational_culture,조직문화,직장내괴롭힘,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,하급자,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
organizational_culture,조직문화,회식,"Hierarchy, communication, work culture, workplace relations, and flexible work conditions."
fairness,공정성,공정,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,공정성,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,공채,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,균등,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,기회균등,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,불공정,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,불평등,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,블라인드채용,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,비리,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,비정규직,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,정규직,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,정의,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,차별,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,채용,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,채용비리,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,투명,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,투명성,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,특권,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,특혜,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,평등,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,형평,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
fairness,공정성,형평성,"Fairness, equality, discrimination, privilege, justice, and recruitment corruption."
performance_npm,성과주의/NPM,kpi,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,개혁,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,경영,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,경쟁,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,관리,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,구조조정,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,목표,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,민영화,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,보상,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,생산성,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,성과,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,성과급,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,성과주의,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,성과평가,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,시장화,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,실적,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,책임,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,책임성,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,평가,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,혁신,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,효율,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
performance_npm,성과주의/NPM,효율성,"Performance management, evaluation, efficiency, competition, innovation, and restructuring."
digital_transformation,디지털 전환,ai,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,뉴딜,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,데이터,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,디지털,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,디지털뉴딜,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,디지털전환,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,디지털정부,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,메타버스,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,모바일,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,블록체인,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,비대면,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,빅데이터,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,스마트,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,스마트정부,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,알고리즘,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,온라인,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,인공지능,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,자동화,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,전자정부,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,정보화,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,클라우드,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
digital_transformation,디지털 전환,플랫폼,"Digitalization, data, platforms, AI, non-face-to-face services, and smart government."
public_health_crisis,방역/위기 대응,감염,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,감염병,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,거리두기,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,격리,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,긴급재난지원금,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,대응,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,마스크,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,방역,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,백신,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,비상,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,사회적거리두기,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,위기,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,자가격리,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,재난,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,재난지원금,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,접종,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,중대본,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,중앙방역대책본부,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,질병관리청,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,코로나,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,코로나19,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,코로나바이러스,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,팬데믹,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,확진,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
public_health_crisis,방역/위기 대응,확진자,"COVID-19, public-health response, disasters, emergency management, and distancing policies."
